"id","name","name_eng","category","category_specific","volume","alcohol","price","brand","nation","bottled","name_eng-2","region","region_detail","distillery","importer","external_image_url","image_url","full_image_url"
10102567,"미클토어 더 셰리 원","Meikle Tòir The Sherry One","싱글몰트","싱글몰트 위스키",700,"48",109000,"Meikle Tòir","스코틀랜드",NULL,"Meikle Tòir The Sherry One","스페이사이드","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/8c4df982-b7c8-454b-a75a-4cb714b998a6.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102567_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102567.png"
10102568,"미클토어 더 터보","Meikle Tòir The Turbo","싱글몰트","싱글몰트 위스키",700,"50",147800,"Meikle Tòir","스코틀랜드",NULL,"Meikle Tòir The Turbo","스페이사이드","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/ceb272ab-b321-4b42-8fb2-9bfb8161aac7.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102568_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102568.png"
40301174,"메코 엑스트라","Meukow Extra Cognac","브랜디","꼬냑",700,"40",600000,"Meukow","프랑스",NULL,"Meukow Extra Cognac","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/3e23ca0f-b737-447a-bef7-7efaa31a3d6a.webp",NULL,NULL
40301175,"모넷 VS","Monnet VS","브랜디","꼬냑",700,"40",48000,"Monnet","프랑스",NULL,"Monnet VS","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/4a7e7736-0bab-4995-881d-927ea77efaf0.webp",NULL,NULL
40301177,"폴 지로 트레아","Paul Giraud Tres Rare","브랜디","꼬냑",700,"40",799000,"Paul Giraud","프랑스",NULL,"Paul Giraud Tres Rare","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/0d444583-390b-4067-92df-92cd1647d77e.webp",NULL,NULL
40301178,"폴 지로 리저브","Paul Giraud Vieille Reserve","브랜디","꼬냑",700,"40",269000,"Paul Giraud","프랑스",NULL,"Paul Giraud Vieille Reserve","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/5794226d-65b8-4c11-ad0b-73aefa39907a.webp",NULL,NULL
40301179,"피에르 페랑 1840","Pierre Ferrand Cognac 1840","브랜디","꼬냑",700,"45",102000,"Pierre Ferrand","프랑스",NULL,"Pierre Ferrand Cognac 1840","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/275ca6dc-191e-4450-b110-0ca9ca7afb92.webp",NULL,NULL
40301180,"프린스 폴리냑 꼬냑 XO 로얄","Prince Polignac Cognac XO Royal","브랜디","꼬냑",700,"40",270000,"Prince Polignac","프랑스",NULL,"Prince Polignac Cognac XO Royal","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/d7eab318-a3e2-46d5-8db0-155a3beaf2c1.webp",NULL,NULL
40301181,"레미 마틴 1738","Remy Martin 1738","브랜디","꼬냑",700,"40",140000,"Remy Martin","프랑스",NULL,"Remy Martin 1738","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/250894ac-6955-48e2-86b5-05288a75dd08.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301181_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301181.png"
40301182,"레미 마틴 엑스트라","Remy Martin Extra","브랜디","꼬냑",700,"40",490000,"Remy Martin","프랑스",NULL,"Remy Martin Extra","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/c9252490-94fa-4171-b21e-d3521f775acb.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301182_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301182.png"
40301183,"레미 마틴 루이 13세","Remy Martin Louis Xiii","브랜디","꼬냑",700,"40",4250000,"Remy Martin","프랑스",NULL,"Remy Martin Louis Xiii","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/298410ee-849d-463a-b750-687eed10ef9d.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301183_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301183.png"
40301184,"레미 마틴 XO","Remy Martin XO","브랜디","꼬냑",700,"40",335000,"Remy Martin","프랑스",NULL,"Remy Martin XO","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/8a30253a-6086-4f20-98b5-56f258f1b428.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301184_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301184.png"
40301185,"레미 마틴 VSOP","Remy martin VSOP","브랜디","꼬냑",700,"40",92900,"Remy Martin","프랑스",NULL,"Remy martin VSOP","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/9d831232-28d5-4ae3-828e-52aae531ee0b.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301185_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301185.png"
40301186,"레미 마틴 VSOP 500ml","Remy martin VSOP 500ml","브랜디","꼬냑",500,"40",84000,"Remy Martin","프랑스",NULL,"Remy martin VSOP 500ml","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/f2b083dd-c707-4605-ac86-57945df22026.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301186_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301186.png"
40301187,"레미 마틴 XO 엑셀런스","Remy martin XO Excellence","브랜디","꼬냑",700,"40",300000,"Remy Martin","프랑스",NULL,"Remy martin XO Excellence","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/964b6203-25ea-4364-8210-aa718f0b9c7f.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301187_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301187.png"
20101512,"스칼리웩 10년","Scallywag 10yo","블렌디드","블렌디드 몰트 위스키",700,"46",115000,"Scallywag","스코틀랜드",NULL,"Scallywag 10yo","스페이사이드","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/f0ad4a73-70cf-47e0-8d9e-7fe2838304da.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/20101512_ds2.png","https://cdn.whisket.co.kr/public/whiskies/20101512.png"
10102633,"스모크 헤드","Smokehead","싱글몰트","싱글몰트 위스키",700,"43",68400,"Smokehead","스코틀랜드",NULL,"Smokehead","아일라 섬","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/bc1545db-724a-49c9-9a8a-f1f0abfbdaf3.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102633_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102633.png"
10102634,"스모크 헤드 하이볼티지","Smokehead High Voltage","싱글몰트","싱글몰트 위스키",700,"58",100000,"Smokehead","스코틀랜드",NULL,"Smokehead High Voltage","아일라 섬","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/9cdd4e9f-3708-46b3-881d-2c5756ccfb35.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/10102634_ds2.png","https://cdn.whisket.co.kr/public/whiskies/10102634.png"
